time,mole_concentration_of_dissolved_molecular_oxygen_in_sea_water_profiler_depth_enabled,mole_concentration_of_dissolved_molecular_oxygen_in_sea_water_profiler_depth_enabled_qc_agg
UTC,micromol.L-1,
2014-04-17T22:27:00Z,299.3264999682,NaN
2014-04-17T22:28:00Z,279.2801310244,NaN
2014-04-17T22:28:00Z,278.1603283973,NaN
2014-04-17T22:28:00Z,273.9572448077,NaN
2014-04-17T22:28:00Z,272.6561899025,NaN
2014-04-17T22:28:00Z,271.4368232084,NaN
2014-04-17T22:29:00Z,271.165576796,NaN
2014-04-17T22:29:00Z,273.4395170149,NaN
2014-04-17T22:29:00Z,279.6954514592,NaN
2014-04-17T22:29:00Z,288.5714116429,NaN
2014-04-17T22:29:00Z,298.4802403963,NaN
2014-04-17T22:29:00Z,307.6698021082,NaN
2014-04-17T22:30:00Z,311.777973002,NaN
2014-04-17T22:30:00Z,315.5307079732,NaN
2014-04-17T22:30:00Z,321.5291759008,NaN
2014-04-17T22:30:00Z,328.6646449851,NaN
2014-04-17T22:30:00Z,336.546831266,NaN
2014-04-17T22:30:00Z,342.6059917515,NaN
2014-04-17T22:31:00Z,344.9718154634,NaN
2014-04-17T22:31:00Z,347.6764267585,NaN
2014-04-17T22:31:00Z,351.4109512071,NaN
2014-04-17T22:31:00Z,355.0429212911,NaN
2014-04-17T22:31:00Z,357.673191677,NaN
2014-04-17T22:31:00Z,359.1139985549,NaN
2014-04-17T22:37:00Z,288.7524170331,NaN
2014-04-17T22:37:00Z,284.1959154267,NaN
2014-04-17T22:37:00Z,279.4042135043,NaN
2014-04-17T22:37:00Z,276.4538659462,NaN
2014-04-17T22:38:00Z,275.9388973649,NaN
2014-04-17T22:38:00Z,276.5706219251,NaN
2014-04-17T22:38:00Z,278.6121593951,NaN
2014-04-17T22:38:00Z,283.4056889789,NaN
2014-04-17T22:38:00Z,289.2044156591,NaN
2014-04-17T22:38:00Z,297.2194261633,NaN
2014-04-17T22:38:00Z,301.6005950048,NaN
2014-04-17T22:39:00Z,305.5869207099,NaN
2014-04-17T22:39:00Z,313.2508780951,NaN
2014-04-17T22:39:00Z,319.8902598399,NaN
2014-04-17T22:39:00Z,327.4776210484,NaN
