Haul,Moc,Net.no,Season,Location,Station,Transect,no.individuals.raw,species,split.mult,no.individuals
104,1,oblique,winter,NH,5,MaD,1,Parophrys vetulus,NA,1
106,1,0,winter,NH,1,MaD,1,Parophrys vetulus,2,2
106,1,0*,winter,NH,1,MaD,1,Parophrys vetulus,NA,NA
106,1,3,winter,NH,1,MaD,1,Parophrys vetulus,1,1
106,4,0,winter,NH,1,MaD,1,Parophrys vetulus,1,1
106,4,3,winter,NH,1,MaD,8,Parophrys vetulus,1,8
114,4,oblique,winter,NH,5,MbD,1,Parophrys vetulus,1,1
115,1,0*,winter,NH,3,MbD,1,Parophrys vetulus,NA,NA
116,1,oblique,winter,NH,2,MbD,5,Parophrys vetulus,NA,6
116,1,4*,winter,NH,2,MbD,1,Parophrys vetulus,NA,NA
116,4,oblique,winter,NH,2,MbD,14,Parophrys vetulus,1,14
117,1,0,winter,NH,1,MbD,173,Parophrys vetulus,2,346
117,1,0*,winter,NH,1,MbD,94,Parophrys vetulus,NA,NA
117,1,3,winter,NH,1,MbD,6,Parophrys vetulus,1,6
117,1,4,winter,NH,1,MbD,17,Parophrys vetulus,2,34
117,1,4*,winter,NH,1,MbD,22,Parophrys vetulus,NA,NA
117,4,0,winter,NH,1,MbD,197,Parophrys vetulus,1,197
117,4,3,winter,NH,1,MbD,1,Parophrys vetulus,1,1
