Haul,Moc,Net.no,Season,Location,Station,Transect,no.individuals.raw,species,split.mult,no.individuals
307,1,4,winter,NH,4,MaD,5,Parophrys vetulus,1,5
307,4,0,winter,NH,4,MaD,2,Parophrys vetulus,1,2
307,4,4,winter,NH,4,MaD,6,Parophrys vetulus,1,6
308,1,3,winter,NH,3,MaD,1,Parophrys vetulus,1,1
308,1,4,winter,NH,3,MaD,7,Parophrys vetulus,2,14
308,1,4*,winter,NH,3,MaD,1,Parophrys vetulus,NA,NA
308,4,0,winter,NH,3,MaD,2,Parophrys vetulus,1,2
308,4,2,winter,NH,3,MaD,1,Parophrys vetulus,1,1
308,4,3,winter,NH,3,MaD,3,Parophrys vetulus,1,3
308,4,4,winter,NH,3,MaD,9,Parophrys vetulus,1,9
309,1,0,winter,NH,2,MaD,4,Parophrys vetulus,1,4
309,1,2,winter,NH,2,MaD,1,Parophrys vetulus,1,1
309,1,3,winter,NH,2,MaD,3,Parophrys vetulus,1,3
309,1,4,winter,NH,2,MaD,9,Parophrys vetulus,1,9
309,4,0,winter,NH,2,MaD,9,Parophrys vetulus,1,9
309,4,3,winter,NH,2,MaD,14,Parophrys vetulus,1,14
309,4,4,winter,NH,2,MaD,20,Parophrys vetulus,1,20
310,1,0,winter,NH,1,MaD,2,Parophrys vetulus,2,4
310,1,3,winter,NH,1,MaD,3,Parophrys vetulus,1,3
310,1,4,winter,NH,1,MaD,14,Parophrys vetulus,2,28
310,4,0,winter,NH,1,MaD,15,Parophrys vetulus,1,15
310,4,3,winter,NH,1,MaD,11,Parophrys vetulus,1,11
310,4,4,winter,NH,1,MaD,117,Parophrys vetulus,1,117
316,4,3,winter,NH,5,MbD,1,Parophrys vetulus,1,1
317,1,0,winter,NH,4,MbD,3,Parophrys vetulus,1,3
317,1,1,winter,NH,4,MbD,1,Parophrys vetulus,1,1
317,1,3,winter,NH,4,MbD,1,Parophrys vetulus,1,1
317,1,4,winter,NH,4,MbD,3,Parophrys vetulus,2,6
317,1,4*,winter,NH,4,MbD,4,Parophrys vetulus,NA,NA
317,4,0,winter,NH,4,MbD,1,Parophrys vetulus,1,1
317,4,3,winter,NH,4,MbD,2,Parophrys vetulus,1,2
318,1,0,winter,NH,3,MbD,4,Parophrys vetulus,1,4
318,1,2,winter,NH,3,MbD,2,Parophrys vetulus,1,2
318,1,4,winter,NH,3,MbD,2,Parophrys vetulus,2,4
318,4,0,winter,NH,3,MbD,16,Parophrys vetulus,1,16
318,4,1,winter,NH,3,MbD,1,Parophrys vetulus,1,1
318,4,2,winter,NH,3,MbD,2,Parophrys vetulus,1,2
318,4,3,winter,NH,3,MbD,1,Parophrys vetulus,1,1
318,4,4,winter,NH,3,MbD,3,Parophrys vetulus,1,3
319,1,0,winter,NH,2,MbD,61,Parophrys vetulus,1,61
319,1,2,winter,NH,2,MbD,18,Parophrys vetulus,1,18
319,1,3,winter,NH,2,MbD,51,Parophrys vetulus,1,51
319,1,4,winter,NH,2,MbD,33,Parophrys vetulus,2,66
319,1,4*,winter,NH,2,MbD,9,Parophrys vetulus,NA,NA
319,4,0,winter,NH,2,MbD,72,Parophrys vetulus,1,72
319,4,2,winter,NH,2,MbD,34,Parophrys vetulus,1,34
319,4,3,winter,NH,2,MbD,20,Parophrys vetulus,1,20
319,4,4,winter,NH,2,MbD,242,Parophrys vetulus,1,242
320,1,0,winter,NH,1,MbD,9,Parophrys vetulus,1,9
320,1,3,winter,NH,1,MbD,14,Parophrys vetulus,1,14
320,1,4,winter,NH,1,MbD,32,Parophrys vetulus,2,64
320,1,4*,winter,NH,1,MbD,17,Parophrys vetulus,NA,NA
320,4,0,winter,NH,1,MbD,7,Parophrys vetulus,1,7
320,4,3,winter,NH,1,MbD,6,Parophrys vetulus,1,6
320,4,4,winter,NH,1,MbD,123,Parophrys vetulus,1,123
