Haul,Moc,Net.no,Season,Location,Station,Transect,no.individuals.raw,species,split.mult,no.individuals,NOTES:
301,1,3,winter,NH,1,MaN,46,Parophrys vetulus,1,46,
301,1,4,winter,NH,1,MaN,14,Parophrys vetulus,1,14,
301,4,3,winter,NH,1,MaN,73,Parophrys vetulus,1,73,
302,1,0,winter,NH,2,MaN,3,Parophrys vetulus,1,3,
302,1,2,winter,NH,2,MaN,4,Parophrys vetulus,1,4,
302,1,3,winter,NH,2,MaN,3,Parophrys vetulus,1,3,
302,1,4,winter,NH,2,MaN,1,Parophrys vetulus,1,1,
302,4,0,winter,NH,2,MaN,3,Parophrys vetulus,1,3,removed- 1 large pvet for Evan Chang REU project
302,4,2,winter,NH,2,MaN,6,Parophrys vetulus,1,6,
302,4,3,winter,NH,2,MaN,5,Parophrys vetulus,1,5,
302,4,4,winter,NH,2,MaN,7,Parophrys vetulus,1,7,
303,1,0,winter,NH,3,MaN,10,Parophrys vetulus,1,10,
303,1,1,winter,NH,3,MaN,28,Parophrys vetulus,1,28,
303,1,2,winter,NH,3,MaN,74,Parophrys vetulus,1,74,
303,1,3,winter,NH,3,MaN,124,Parophrys vetulus,1,124,
303,1,4,winter,NH,3,MaN,10,Parophrys vetulus,1,10,
303,4,0,winter,NH,3,MaN,69,Parophrys vetulus,1,69,
303,4,1,winter,NH,3,MaN,46,Parophrys vetulus,1,46,
303,4,2,winter,NH,3,MaN,88,Parophrys vetulus,1,88,
303,4,3,winter,NH,3,MaN,178,Parophrys vetulus,1,178,
303,4,4,winter,NH,3,MaN,205,Parophrys vetulus,1,205,
304,1,3,winter,NH,4,MaN,2,Parophrys vetulus,1,2,
304,4,0,winter,NH,4,MaN,6,Parophrys vetulus,1,6,
304,4,3,winter,NH,4,MaN,2,Parophrys vetulus,1,2,
304,4,4,winter,NH,4,MaN,1,Parophrys vetulus,1,1,
305,4,2,winter,NH,5,MaN,1,Parophrys vetulus,1,1,
305,4,3,winter,NH,5,MaN,1,Parophrys vetulus,1,1,
311,1,0,winter,NH,1,MbN,5,Parophrys vetulus,1,5,removed- 1 large pvet for Evan Chang REU project
311,1,3,winter,NH,1,MbN,2,Parophrys vetulus,1,2,
311,1,4,winter,NH,1,MbN,1,Parophrys vetulus,1,1,
311,4,0,winter,NH,1,MbN,36,Parophrys vetulus,1,36,
311,4,3,winter,NH,1,MbN,47,Parophrys vetulus,1,47,
311,4,4,winter,NH,1,MbN,19,Parophrys vetulus,1,19,
312,1,0,winter,NH,2,MbN,46,Parophrys vetulus,1,46,
312,1,2,winter,NH,2,MbN,200,Parophrys vetulus,1,200,
312,1,3,winter,NH,2,MbN,38,Parophrys vetulus,1,38,
312,1,4,winter,NH,2,MbN,31,Parophrys vetulus,1,31,
312,4,0,winter,NH,2,MbN,236,Parophrys vetulus,1,236,
312,4,2,winter,NH,2,MbN,621,Parophrys vetulus,1,621,
312,4,3,winter,NH,2,MbN,60,Parophrys vetulus,1,60,
312,4,4,winter,NH,2,MbN,3,Parophrys vetulus,1,3,
312,4,4,winter,NH,2,MbN,293,Parophrys vetulus,1,293,
313,1,0,winter,NH,3,MbN,23,Parophrys vetulus,1,23,
313,1,1,winter,NH,3,MbN,23,Parophrys vetulus,1,23,
313,1,2,winter,NH,3,MbN,23,Parophrys vetulus,1,23,
313,1,3,winter,NH,3,MbN,2,Parophrys vetulus,1,2,
313,1,4,winter,NH,3,MbN,6,Parophrys vetulus,1,6,
313,4,0,winter,NH,3,MbN,67,Parophrys vetulus,1,67,REMOVED- 5 large pvet for Evan Change REU project
313,4,1,winter,NH,3,MbN,25,Parophrys vetulus,1,25,
313,4,2,winter,NH,3,MbN,1,Parophrys vetulus,1,1,
313,4,3,winter,NH,3,MbN,2,Parophrys vetulus,1,2,
313,4,4,winter,NH,3,MbN,18,Parophrys vetulus,1,18,REMOVED- 2 large pvetulus for Evan Change REU project
314,1,1,winter,NH,4,MbN,1,Parophrys vetulus,1,1,
314,1,2,winter,NH,4,MbN,1,Parophrys vetulus,1,1,
314,1,3,winter,NH,4,MbN,3,Parophrys vetulus,1,3,
314,4,0,winter,NH,4,MbN,5,Parophrys vetulus,1,5,
314,4,1,winter,NH,4,MbN,1,Parophrys vetulus,1,1,
314,4,2,winter,NH,4,MbN,1,Parophrys vetulus,1,1,
315,1,2,winter,NH,5,MbN,1,Parophrys vetulus,1,1,
315,1,3,winter,NH,5,MbN,3,Parophrys vetulus,1,3,
315,1,4,winter,NH,5,MbN,1,Parophrys vetulus,1,1,
315,4,0,winter,NH,5,MbN,7,Parophrys vetulus,1,7,
315,4,2,winter,NH,5,MbN,2,Parophrys vetulus,1,2,
315,4,3,winter,NH,5,MbN,5,Parophrys vetulus,1,5,
315,4,4,winter,NH,5,MbN,5,Parophrys vetulus,1,5,
326,1,0,winter,TR,5,MaN,1,Parophrys vetulus,1,1,
326,4,4,winter,TR,5,MaN,1,Parophrys vetulus,1,1,
