Cruise,date,Location,Transect,Station.,Net.no,moc.1.volume.m3,moc.4.volume.m3,time.start.GMT,time.end.GMT,notes
W18,180217,NH,MaN,1,0,287.2338103,1148.935241,5:54:44,6:02:35,
W18,180217,NH,MaN,1,3,257.9414591,1031.765836,6:02:36,6:09:27,
W18,180217,NH,MaN,1,4,194.6633459,778.6533838,6:09:28,6:14:29,
W18,180217,NH,MaN,3,0,445.4586781,1781.834712,10:21:00,10:29:37,
W18,180217,NH,MaN,3,1,227.6316446,910.5265778,10:29:38,10:34:23,
W18,180217,NH,MaN,3,2,101.1329662,404.5318652,10:34:24,10:36:34,
W18,180217,NH,MaN,3,3,276.0563282,1104.225313,10:36:35,10:42:35,
W18,180217,NH,MaN,3,4,202.4492587,809.7970347,10:42:35,10:46:58,
W18,180217,NH,MaN,5,0,1742.098575,6968.394301,14:07:22,14:36:02,oblique
W18,180217,NH,MaD,5,0,1655.305366,6621.221464,18:09:16,18:35:49,oblique
W18,180217,NH,MaD,3,0,1510.385274,6041.541098,22:58:18,23:32:17,oblique
W18,180218,NH,MaD,1,0,401.5147378,1606.058952,4:16:41,4:24:47,
W18,180218,NH,MaD,1,3,158.1500506,632.6002021,4:24:48,4:28:32,
W18,180218,NH,MaD,1,4,224.8192866,899.2771458,4:28:33,4:34:21,
W18,180220,TR,MaN,1,0,407.2933455,1629.173382,3:52:49,4:00:29,
W18,180220,TR,MaN,1,3,224.1238536,896.4954141,4:00:30,4:05:16,
W18,180220,TR,MaN,1,4,240.7245405,962.8981626,4:05:17,4:10:47,
W18,180220,TR,MaN,3,0,683.8605829,2735.44233,6:04:12,6:18:39,
W18,180220,TR,MaN,3,1,218.2400481,872.9601921,6:18:40,6:23:02,
W18,180220,TR,MaN,3,2,192.0032441,768.0129767,6:23:03,6:26:50,
W18,180220,TR,MaN,3,3,213.4104542,853.641817,6:26:51,6:31:20,
W18,180220,TR,MaN,3,4,300.4706487,1201.882595,6:31:21,6:37:48,
W18,180220,TR,MaN,5,0,781.2012512,3124.805005,9:54:22,10:10:28,
W18,180220,TR,MaN,5,1,186.5640608,746.2562432,10:10:29,10:14:23,
W18,180220,TR,MaN,5,2,253.1083233,1012.433294,10:14:24,10:19:58,
W18,180220,TR,MaN,5,3,306.880162,1227.520648,10:19:59,10:26:29,
W18,180220,TR,MaN,5,4,277.3736121,1109.494449,10:26:30,10:32:05,
W18,180220,TR,MaD,5,0,1506.88898,6027.555921,15:18:18,15:46:35,oblique
W18,180220,TR,MaD,3,0,2217.811776,8871.247105,18:46:23,19:18:01,oblique
W18,180220,TR,MaD,2,0,997.079844,3988.319373,20:53:51,21:20:31,oblique
W18,180220,TR,MaD,1,0,660.715095,2642.86038,22:25:09,22:41:26,oblique
W18,180223,NH,MbD,5,0,1237.005845,4948.023383,16:03:55,16:33:00,oblique
W18,180223,NH,MbD,3,0,1360.108342,5440.433368,19:34:46,20:03:33,oblique
W18,180223,NH,MbD,2,0,834.0503084,3336.201235,21:51:59,22:06:24,oblique
W18,180223,NH,MbD,1,0,300.545064,1202.180256,23:26:55,23:32:25,
W18,180223,NH,MbD,1,3,230.5166061,922.0664244,23:32:26,23:36:14,
W18,180223,NH,MbD,1,4,237.4752389,949.9009553,23:36:15,23:40:14,
S18,180706,TR,MaD,1,0,206.0929189,824.371676,15:58:28,16:03:40,
S18,180706,TR,MaD,1,3,183.1766872,732.7067491,16:03:41,16:08:14,
S18,180706,TR,MaD,1,4,271.5502187,1086.200874,16:08:15,16:15:00,
S18,180706,TR,MaD,2,0,460.5449743,1842.179897,17:18:30,17:30:48,
S18,180706,TR,MaD,2,1,200.6266959,802.5067838,17:30:49,17:35:40,
S18,180706,TR,MaD,2,2,206.7413383,826.9653527,17:35:41,17:40:46,
S18,180706,TR,MaD,2,3,265.4482751,1061.793101,17:40:47,17:46:59,
S18,180706,TR,MaD,2,4,209.5712256,838.2849025,17:47:00,17:51:57,
S18,180706,TR,MaD,3,0,249.8917251,999.566901,19:18:38,19:26:09,
S18,180706,TR,MaD,3,1,292.7855305,1171.142122,19:26:10,19:33:52,
S18,180706,TR,MaD,3,2,238.8731843,955.4927376,19:33:53,19:39:44,
S18,180706,TR,MaD,3,3,218.5419829,874.1679316,19:39:45,19:45:07,
S18,180706,TR,MaD,3,4,207.8641591,831.4566366,19:45:08,19:50:13,
S18,180706,TR,MaD,4,0,482.7374538,1930.949815,21:09:45,21:22:39,
S18,180706,TR,MaD,4,1,151.9694931,607.8779722,21:16:00,21:19:08,
S18,180706,TR,MaD,4,2,158.5923461,634.3693845,21:19:09,21:22:37,
S18,180706,TR,MaD,4,3,151.7923419,607.1693679,21:22:40,21:26:14,
S18,180706,TR,MaD,4,4,221.1327389,884.5309558,21:26:15,21:32:17,
S18,180706,TR,MaD,5,0,300.8455166,1203.382066,23:02:19,23:10:38,
S18,180706,TR,MaD,5,1,281.2691616,1125.076646,23:10:39,23:17:38,
S18,180706,TR,MaD,5,2,136.3652503,545.4610009,23:17:39,23:20:55,
S18,180706,TR,MaD,5,3,165.7874239,663.1496951,23:20:56,23:25:04,
S18,180706,TR,MaD,5,4,221.4086435,885.6345736,23:25:05,23:30:10,
S18,180707,TR,MaN,5,0,329.5351292,1318.140517,9:37:00,9:45:32,
