Cruise,Year,Location,Transect,Station,MOC1_Total,MOC4_Total,MOC1_total_volume,MOC4_total_volume,Conc.MOC1.1000m3,Conc.MOC4.1000m3
MEZCAL,2018,MaD,NH,5,1,0,1655.305366,6621.221464,0.604118141,0
MEZCAL,2018,MaD,NH,3,0,0,1510.385274,6041.541098,0,0
MEZCAL,2018,MaD,NH,1,3,9,784.484075,3137.9363,3.824169407,2.868127055
MEZCAL,2018,MbD,NH,5,0,0,1237.005845,4948.023383,0,0
MEZCAL,2018,MbD,NH,3,1,0,1360.108342,5440.433368,0.735235546,0
MEZCAL,2018,MbD,NH,2,7,14,834.0503084,3336.201235,8.392779104,4.19638955
MEZCAL,2018,MbD,NH,1,312,198,768.536909,3074.147636,405.9661889,64.40809729
MEZCAL,2019,MaD,NH,5,0,0,1422.427833,5689.711333,0,0
MEZCAL,2019,MaD,NH,4,5,8,1254.795269,5019.181076,3.984713781,1.593885512
MEZCAL,2019,MaD,NH,3,9,15,1362.622724,5450.490897,6.604909663,2.752045693
MEZCAL,2019,MaD,NH,2,17,42,1048.73119,4194.924759,16.21006428,10.01209853
MEZCAL,2019,MaD,NH,1,19,143,735.6259423,2942.503769,25.82834415,48.59806859
MEZCAL,2019,MbD,NH,5,0,1,1170.470485,4681.881942,0,0.213589324
MEZCAL,2019,MbD,NH,4,8,3,1186.145608,4744.582434,6.744534519,0.632300111
MEZCAL,2019,MbD,NH,3,8,23,1031.459051,4125.836202,7.756003493,5.574627511
MEZCAL,2019,MbD,NH,2,163,368,836.9529483,3347.811794,194.7540783,109.9225472
MEZCAL,2019,MbD,NH,1,55,136,614.3220727,2457.288292,89.52958463,55.34556139
,,,,,,,,,,
SPECTRA,2022,NA,GH,6,0,0,,,,
SPECTRA,2022,NA,GH,5,0,0,,,,
SPECTRA,2022,NA,GH,4,0,0,,,,
SPECTRA,2022,NA,GH,3,0,0,,,,
SPECTRA,2022,NA,GH,2,7,18,,,,
SPECTRA,2022,NA,GH,1,0,2,,,,
SPECTRA,2022,NA,CR,4,0,1,,,,
SPECTRA,2022,NA,CR,3,0,1,,,,
SPECTRA,2022,NA,CR,2,15,31,,,,
SPECTRA,2022,NA,CR,1,29,10,,,,
SPECTRA,2022,NA,CM,4,0,0,,,,
SPECTRA,2022,NA,CM,3,2,1,,,,
SPECTRA,2022,NA,CM,2,1,9,,,,
SPECTRA,2022,NA,CM,1,10,4,,,,
SPECTRA,2022,NA,NH,6,2,1,,,,
SPECTRA,2022,NA,NH,5,1,1,,,,
SPECTRA,2022,NA,NH,4,1,1,,,,
SPECTRA,2022,NA,NH,3,0,0,,,,
SPECTRA,2022,NA,NH,2,0,0,,,,
SPECTRA,2022,NA,NH,1,5,27,,,,
SPECTRA,2022,NA,HH,4,0,0,,,,
SPECTRA,2022,NA,HH,3,0,0,,,,
SPECTRA,2022,NA,HH,2,4,7,,,,
SPECTRA,2022,NA,HH,1,12,8,,,,
SPECTRA,2022,NA,RR,4,2,8,,,,
SPECTRA,2022,NA,RR,3,0,2,,,,
SPECTRA,2022,NA,RR,2,0,3,,,,
SPECTRA,2022,NA,RR,1,0,1,,,,
,,,,,,,,,,
SPECTRA,2023,NA,GH,6,0,0,,,,
SPECTRA,2023,NA,GH,5,0,0,,,,
SPECTRA,2023,NA,GH,4,0,0,,,,
SPECTRA,2023,NA,GH,3,23,38,,,,
SPECTRA,2023,NA,GH,2,31,88,,,,
SPECTRA,2023,NA,GH,1,259,164,,,,
SPECTRA,2023,NA,CR,4,0,0,,,,
SPECTRA,2023,NA,CR,3,0,0,,,,
SPECTRA,2023,NA,CR,2,7,7,,,,
SPECTRA,2023,NA,CR,1,113,0,,,,
SPECTRA,2023,NA,NH,6,0,0,,,,
SPECTRA,2023,NA,NH,5,0,1,,,,
SPECTRA,2023,NA,NH,4,0,0,,,,
SPECTRA,2023,NA,NH,3,3,0,,,,
SPECTRA,2023,NA,NH,2,3,22,,,,
SPECTRA,2023,NA,NH,1,672,376,,,,
SPECTRA,2023,NA,HH,4,0,0,,,,
SPECTRA,2023,NA,HH,3,65,41,,,,
SPECTRA,2023,NA,HH,2,62,315,,,,
SPECTRA,2023,NA,HH,1,114,209,,,,
