mezcalW18-20180217-NH-S5-MaD-Moc1-N3,104-1-3,1,2.53,
,,,,
mezcalW18-20180217-NH-S1-MaD-Moc1-N0,106-1-0,1,11.38,Measurement inaccurate; head missing
,,,,
mezcalW18-20180217-NH-S1-MaD-Moc1-N0,106-1-0*,1,7.76,Measurement inaccurate; tail section detached
mezcalW18-20180217-NH-S1-MaD-Moc1-N0,106-1-0*,2,n/a,
,,,,
mezcalW18-20180217-NH-S1-MaD-Moc4-N0,106-4-0,1,10.09,
,,,,
mezcalW18-20180217-NH-S1-MaD-Moc4-N3,106-4-3,1,9.87,
mezcalW18-20180217-NH-S1-MaD-Moc4-N4,106-4-3,2,14.43,"Body disintegrated, low structural integrity"
mezcalW18-20180217-NH-S1-MaD-Moc4-N5,106-4-3,3,13.73,"Body disintegrated, low structural integrity"
mezcalW18-20180217-NH-S1-MaD-Moc4-N6,106-4-3,4,11.28,
mezcalW18-20180217-NH-S1-MaD-Moc4-N7,106-4-3,5,16.5,"Body disintegrated, low structural integrity"
mezcalW18-20180217-NH-S1-MaD-Moc4-N8,106-4-3,6,12,
mezcalW18-20180217-NH-S1-MaD-Moc4-N9,106-4-3,7,16.85,
mezcalW18-20180217-NH-S1-MaD-Moc4-N10,106-4-3,8,16.54,Measurement inaccurate; body detached at multiple point with parts missing
,,,,
mezcalW18-20180223-NH-S3-MbD-Moc1-N0,115-1-0*,1,2.8,
,,,,
mezcalW18-20180223-NH-S2-MbD-Moc1-N4,116-1-4*,1,11.7,
,,,,
mezcalW18-20180223-NH-S2-MbD-Moc1-N3,116-1-3,1,13.12,
,,,,
mezcalW18-20180223-NH-S2-MbD-Moc1-N4,116-1-4,1,9.45,
,,,,
mezcalW18-20180223-NH-S2-MbD-Moc4-N0,116-4-0,1,9.79,
mezcalW18-20180223-NH-S2-MbD-Moc4-N0,116-4-0,2,8.83,
mezcalW18-20180223-NH-S2-MbD-Moc4-N0,116-4-0,3,8.88,
mezcalW18-20180223-NH-S2-MbD-Moc4-N0,116-4-0,4,11.99,
mezcalW18-20180223-NH-S2-MbD-Moc4-N0,116-4-0,5,13.34,
mezcalW18-20180223-NH-S2-MbD-Moc4-N0,116-4-0,6,16.24,
,,,,
mezcalW18-20180223-NH-S2-MbD-Moc4-N4,116-4-4,1,7.58,
mezcalW18-20180223-NH-S2-MbD-Moc4-N4,116-4-4,2,7.68,
mezcalW18-20180223-NH-S2-MbD-Moc4-N4,116-4-4,3,8.73,
mezcalW18-20180223-NH-S2-MbD-Moc4-N4,116-4-4,4,6.26,
mezcalW18-20180223-NH-S2-MbD-Moc4-N4,116-4-4,5,6.87,Measurement inaccurate; tail detached from body
mezcalW18-20180223-NH-S2-MbD-Moc4-N4,116-4-4,6,10.62,
mezcalW18-20180223-NH-S2-MbD-Moc4-N4,116-4-4,7,6.02,Measurement inaccurate; head detached from body
mezcalW18-20180223-NH-S2-MbD-Moc4-N4,116-4-4,8,10.42,
,,,,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,1,7.49,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,2,7.08,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,3,8,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,4,5.37,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,5,7.53,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,6,8.43,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,7,5.79,Measurement inaccurate;body damaged and disfigured
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,8,10.03,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,9,8.53,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,10,7.94,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,11,8.12,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,12,6.91,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,13,7.65,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,14,7.1,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,15,9.46,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,16,8.83,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,17,7.07,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,18,6.97,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,19,5.97,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,20,8.17,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,21,7.88,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,22,8.2,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,23,8.06,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,24,7.52,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,25,5.25,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,26,6.38,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,27,6.5,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,28,6.84,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,29,5.36,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,30,7.61,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,31,6.47,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,32,6.16,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,33,7.05,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,34,7.3,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,35,6.35,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,36,6.28,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,37,6.55,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,38,5.44,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,39,6.93,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,40,6.69,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,41,7.77,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,42,5.48,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,43,7.09,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,44,5.71,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,45,4.88,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,46,5.84,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,47,7.03,Body segmented
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,48,6.21,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,49,5.79,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,50,4.58,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,51,5.62,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,52,4.21,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,53,4.73,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,54,5.42,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,55,3.82,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,56,5.26,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,57,7.15,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,58,4.64,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,59,4.33,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,60,5.64,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,61,3.48,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,62,3.52,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,63,4,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,64,3.18,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,65,5.48,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,66,4.3,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,67,4.2,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,68,5.04,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,69,4.73,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,70,4.98,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,71,4.57,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,72,4.78,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,73,3.96,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,74,3.76,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,75,4.65,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,76,4.24,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,77,4,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,78,4.68,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,79,5.57,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,80,5.31,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,81,4.19,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,82,5.5,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,83,3.36,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,84,4.22,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,85,4.01,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,86,4.34,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,87,4.23,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,88,3.96,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,89,5.32,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,90,4.39,Body segmented 
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,91,5.45,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,92,3.58,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,93,4.46,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,94,4.22,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,95,3.91,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,96,3.6,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,97,3.83,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,98,4.09,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,99,3.75,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,100,2.86,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,101,3.13,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,102,3.98,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,103,2.43,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,104,2.91,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,105,4.8,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,106,2.25,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,107,3.81,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,108,5.27,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,109,3.65,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,110,3.65,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,111,3.16,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,112,4.22,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,113,4.63,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,114,3.44,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,115,4.71,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,116,3.46,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,117,4.44,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,118,4.12,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,119,3.56,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,120,3.75,Body partially broken
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,121,3.37,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,122,3.43,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,123,4.31,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,124,3.03,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,125,3.91,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,126,3.09,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,127,3.86,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,128,2.4,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,129,3.78,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,130,4.22,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,131,2.85,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,132,2.3,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,133,3.16,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,134,2.76,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,135,5.08,Measurement inaccurate; head seperated from body during measurement
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,136,3.39,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,137,2.76,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,138,3.29,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,139,4.3,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,140,3.2,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,141,3.97,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,142,4.7,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,143,3.55,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,144,3.5,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,145,3.26,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,146,3.12,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,147,3.67,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,148,2.93,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,149,2.67,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,150,3.96,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,151,2.6,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,152,3.57,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,153,3.36,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,154,3.16,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,155,2.99,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,156,2.56,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,157,3.28,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,158,2.72,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,159,1.64,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,160,n/a,Only head section
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,161,2.42,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,162,3.39,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,163,2.19,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,164,2.22,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,165,3.02,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,166,3.17,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,167,3.57,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,168,3.34,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0,169,2.64,
,,,,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,1,4.32,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,2,5.29,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,3,5.36,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,4,5.51,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,5,4.67,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,6,4.51,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,7,5.3,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,8,5.95,Midsection damaged
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,9,5.63,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,10,5.06,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,11,4.69,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,12,5.61,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,13,7.76,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,14,6.45,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,15,4.08,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,16,4.35,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,17,5.52,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,18,4.56,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,19,4.2,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,20,4.9,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,21,4.76,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,22,4.84,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,23,4.06,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,24,3.26,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,25,3.61,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,26,3.33,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,27,4,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,28,3.63,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,29,4.77,Tail section segmented
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,30,5.85,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,31,4.25,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,32,4.94,Tail section segmented
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,33,6.85,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,34,3.35,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,35,4.1,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,36,4.32,
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,37,2.71,Measurement inaccurate; tail section missing
mezcalW18-20180223-NH-S1-MbD-Moc1-N0,117-1-0*,38,3.97,
