Vial_Label,Haul Code,Fish_number,Length(mm),
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,1,10.89,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,2,10.24,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,3,10.63,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,4,11.73,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,5,7.49,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,6,10.72,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,7,8.75,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,8,7.46,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9,10.06,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,10,9.52,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,11,9.15,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,12,9.4,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,13,9.51,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,14,10.43,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,15,10.99,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,16,11.09,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,17,8.27,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,18,9.78,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,19,9.59,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,20,7.82,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,21,10.52,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,22,14.1,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,23,7.38,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,24,9.16,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,25,7.97,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,26,12.84,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,27,8.47,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,28,9.3,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,29,6.86,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,30,8.39,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,31,8.18,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,32,6.94,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,33,9.53,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,34,9.37,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,35,13.88,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,36,16.21,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,37,9.71,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,38,9.42,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,39,10.51,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,40,8.46,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,41,7.68,
