Cruise,Haul.no,Moc,Net.no,Transect,Station,Fish.no,Length(mm),notes ,
SPECTRA_W22,105-1-0,1,0,GH,2,1,6.01,,
SPECTRA_W22,105-1-0,1,0,GH,2,2,6.12,,
SPECTRA_W22,105-1-0,1,0,GH,2,3,5.86,,
,,,,,,,,,
SPECTRA_W22,105-1-3,1,3,GH,2,1,10.21,post-flexion,
SPECTRA_W22,105-1-3,1,3,GH,2,2,5.53,mildly damaged,
SPECTRA_W22,105-1-3,1,3,GH,2,3,5.72,mildly damaged,
,,,,,,,,,
SPECTRA_W22,105-1-4,1,4,GH,2,1,4.49,,
,,,,,,,,,
SPECTRA_W22,105-4-0,4,0,GH,2,1,13.28,post-flexion,
SPECTRA_W22,105-4-0,4,0,GH,2,2,12.37,post-flexion,Damaged- likely no otos
SPECTRA_W22,105-4-0,4,0,GH,2,3,NA,missing most of body,
SPECTRA_W22,105-4-0,4,0,GH,2,4,13.38,post-flexion,Damaged- likely no otos
SPECTRA_W22,105-4-0,4,0,GH,2,5,11.59,post-flexion,
SPECTRA_W22,105-4-0,4,0,GH,2,6,14.96,post-flexion,
,,,,,,,,,
SPECTRA_W22,105-4-3,4,3,GH,2,1,11.04,post-flexion,
SPECTRA_W22,105-4-3,4,3,GH,2,2,10.44,post-flexion,
SPECTRA_W22,105-4-3,4,3,GH,2,3,12.92,post-flexion,damaged
SPECTRA_W22,105-4-3,4,3,GH,2,4,13.84,post-flexion,damaged
SPECTRA_W22,105-4-3,4,3,GH,2,5,14.26,post-flexion,
SPECTRA_W22,105-4-3,4,3,GH,2,6,9.91,post-flexion,
SPECTRA_W22,105-4-3,4,3,GH,2,7,12.63,post-flexion,
SPECTRA_W22,105-4-3,4,3,GH,2,8,10.39,post-flexion,
SPECTRA_W22,105-4-3,4,3,GH,2,9,NA,damaged,
SPECTRA_W22,105-4-3,4,3,GH,2,10,13.01,post-flexion,
,,,,,,,,,
SPECTRA_W22,106-4-0,4,0,GH,1,1,13.51,post-flexion,
,,,,,,,,,
SPECTRA_W22,106-4-4,4,4,GH,1,1,10.1,,
,,,,,,,,,
SPECTRA_W22,108-4-4,4,4,CR,3,1,15.28,post-flexion,
,,,,,,,,,
SPECTRA_W22,109-1-0,1,0,CR,1,1,3.83,,
SPECTRA_W22,109-1-0,1,0,CR,1,2,7.57,,
,,,,,,,,,
SPECTRA_W22,109-1-4,1,4,CR,1,1,4.53,,
SPECTRA_W22,109-1-4,1,4,CR,1,2,4.2,,
SPECTRA_W22,109-1-4,1,4,CR,1,3,6.13,,
,,,,,,,,,
SPECTRA_W22,109-1-4p,1,4p,CR,1,1,5.79,,
SPECTRA_W22,109-1-4p,1,4p,CR,1,2,6.04,,
SPECTRA_W22,109-1-4p,1,4p,CR,1,3,3.94,,
SPECTRA_W22,109-1-4p,1,4p,CR,1,4,3.37,,
SPECTRA_W22,109-1-4p,1,4p,CR,1,5,4.38,,
SPECTRA_W22,109-1-4p,1,4p,CR,1,6,5.51,,
SPECTRA_W22,109-1-4p,1,4p,CR,1,7,7.21,,
SPECTRA_W22,109-1-4p,1,4p,CR,1,8,2.97,,
SPECTRA_W22,109-1-4p,1,4p,CR,1,9,5.04,,
SPECTRA_W22,109-1-4p,1,4p,CR,1,10,6.88,,
SPECTRA_W22,109-1-4p,1,4p,CR,1,11,5.3,,
