Cruise,Haul.no,Moc,Net.no,Transect,Station,Fish.no,Length(mm),notes 
SPECTRA_W23,303-4-0,4,0,GH,6,1,4.78,
SPECTRA_W23,303-4-0,4,0,GH,6,2,13.8,post-flexion
,,,,,,,,
SPECTRA_W23,304-1-0,1,0,GH,3,1,7.28,
,,,,,,,,
SPECTRA_W23,304-1-2,1,2,GH,3,1,4.67,
SPECTRA_W23,304-1-2,1,2,GH,3,2,4.3,
SPECTRA_W23,304-1-2,1,2,GH,3,3,3.18,
SPECTRA_W23,304-1-2,1,2,GH,3,4,4.67,
SPECTRA_W23,304-1-2,1,2,GH,3,5,6.95,
,,,,,,,,
SPECTRA_W23,304-1-3,1,3,GH,3,1,4.58,
SPECTRA_W23,304-1-3,1,3,GH,3,2,7.35,
,,,,,,,,
SPECTRA_W23,304-1-4,1,4,GH,3,1,4.7,
SPECTRA_W23,304-1-4,1,4,GH,3,2,3.99,
SPECTRA_W23,304-1-4,1,4,GH,3,3,4.03,
SPECTRA_W23,304-1-4,1,4,GH,3,4,5.49,
SPECTRA_W23,304-1-4,1,4,GH,3,5,4.99,
SPECTRA_W23,304-1-4,1,4,GH,3,6,7.9,
SPECTRA_W23,304-1-4,1,4,GH,3,7,6.79,
SPECTRA_W23,304-1-4,1,4,GH,3,8,6.31,
SPECTRA_W23,304-1-4,1,4,GH,3,9,7.5,
SPECTRA_W23,304-1-4,1,4,GH,3,10,6.68,
SPECTRA_W23,304-1-4,1,4,GH,3,11,6.9,
SPECTRA_W23,304-1-4,1,4,GH,3,12,9.48,post-flexion
SPECTRA_W23,304-1-4,1,4,GH,3,13,11.14,post-flexion
SPECTRA_W23,304-1-4,1,4,GH,3,14,7.13,
,,,,,,,,
SPECTRA_W23,304-4-0,4,0,GH,3,1,8.53,post-flexion
SPECTRA_W23,304-4-0,4,0,GH,3,2,7.52,
,,,,,,,,
SPECTRA_W23,304-4-3,4,3,GH,3,1,7.61,
SPECTRA_W23,304-4-3,4,3,GH,3,2,9.12,
