cruise,date,transect,station,location,Moc,Net,Haul,Length_mm,Notes
mezcalW18,20180217,NH,5,MaD,1,3,104-1-3,2.53,
mezcalW18,20180217,NH,1,MaD,1,0,106-1-0,NA,damaged
mezcalW18,20180217,NH,1,MaD,1,0,106-1-0*,NA,damaged
mezcalW18,20180217,NH,1,MaD,1,0,106-1-0*,NA,damaged
mezcalW18,20180217,NH,1,MaD,1,0,106-4-0,10.09,
mezcalW18,20180217,NH,1,MaD,4,3,106-4-3,9.87,
mezcalW18,20180217,NH,1,MaD,4,3,106-4-3,14.43,"Body disintegrated, low structural integrity"
mezcalW18,20180217,NH,1,MaD,4,3,106-4-3,13.73,"Body disintegrated, low structural integrity"
mezcalW18,20180217,NH,1,MaD,4,3,106-4-3,11.28,
mezcalW18,20180217,NH,1,MaD,4,3,106-4-3,16.5,"Body disintegrated, low structural integrity"
mezcalW18,20180217,NH,1,MaD,4,3,106-4-3,12,
mezcalW18,20180217,NH,1,MaD,4,3,106-4-3,16.85,
mezcalW18,20180217,NH,1,MaD,4,3,106-4-3,NA,damaged
mezcalW18,20180223,NH,3,MbD,1,0,115-1-0*,2.8,
mezcalW18,20180223,NH,2,MbD,1,4,116-1-4*,11.7,
mezcalW18,20180223,NH,2,MbD,1,3,116-1-3,13.12,
mezcalW18,20180223,NH,2,MbD,1,4,116-1-4,9.45,
mezcalW18,20180223,NH,2,MbD,4,0,116-4-0,9.79,
mezcalW18,20180223,NH,2,MbD,4,0,116-4-0,8.83,
mezcalW18,20180223,NH,2,MbD,4,0,116-4-0,8.88,
mezcalW18,20180223,NH,2,MbD,4,0,116-4-0,11.99,
mezcalW18,20180223,NH,2,MbD,4,0,116-4-0,13.34,
mezcalW18,20180223,NH,2,MbD,4,0,116-4-0,16.24,
mezcalW18,20180223,NH,2,MbD,4,4,116-4-4,7.58,
mezcalW18,20180223,NH,2,MbD,4,4,116-4-4,7.68,
mezcalW18,20180223,NH,2,MbD,4,4,116-4-4,8.73,
mezcalW18,20180223,NH,2,MbD,4,4,116-4-4,6.26,
mezcalW18,20180223,NH,2,MbD,4,4,116-4-4,NA,damaged
mezcalW18,20180223,NH,2,MbD,4,4,116-4-4,10.62,
mezcalW18,20180223,NH,2,MbD,4,4,116-4-4,NA,damaged
mezcalW18,20180223,NH,2,MbD,4,4,116-4-4,10.42,
mezcalW18,20180223,NH,1,MbD,1,0,117-1-0,7.49,
