,cruise,date,transect,station,location,Moc,Net,Haul,Length_mm,Notes
1,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,10.89,
2,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,10.24,
3,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,10.63,
4,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,11.73,
5,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,7.49,
6,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,10.72,
7,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,8.75,
8,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,7.46,
9,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,10.06,
10,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.52,
11,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.15,
12,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.4,
13,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.51,
14,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,10.43,
15,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,10.99,
16,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,11.09,
17,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,8.27,
18,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.78,
19,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.59,
20,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,7.82,
21,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,10.52,
22,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,14.1,
23,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,7.38,
24,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.16,
25,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,7.97,
26,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,12.84,
27,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,8.47,
28,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.3,
29,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,6.86,
30,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,8.39,
31,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,8.18,
32,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,6.94,
33,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.53,
34,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.37,
35,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,13.88,
36,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,16.21,
37,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.71,
38,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.42,
39,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,10.51,
40,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,8.46,
41,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,7.68,
42,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.05,
43,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.64,
44,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,8.21,
45,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,6.13,
46,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.53,
47,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,6.86,
48,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,7.22,
49,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.57,
50,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,7.8,
51,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,7.77,
52,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,8.22,
53,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,10.25,
54,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,14.58,
55,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.78,
56,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,12.3,
57,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.76,
58,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.69,
59,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.78,
60,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.69,
61,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,12.07,
62,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,11.18,
63,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,11.1,
64,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,7.15,
65,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,10.03,
66,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,11.91,
67,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9,
68,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,8.14,
69,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,7.79,
70,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,15.63,
71,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,8.16,
72,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,6.73,
73,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,8.52,
74,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,10.07,
75,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.16,
76,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,11.65,
77,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,11.24,
78,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.92,
79,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,10.79,
80,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,8.73,
81,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,9.26,
82,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,11.32,
83,mezcalW19,20190307,NH,2,MbD,4,4,319-4-4,10.72,
