cruise,date,transect,station,Moc,Net,Haul,Length(mm),notes ,
spectraW22,20220303,GH,2,1,0,105-1-0,6.01,,
spectraW22,20220303,GH,2,1,0,105-1-0,6.12,,
spectraW22,20220303,GH,2,1,0,105-1-0,5.86,,
spectraW22,20220303,GH,2,1,3,105-1-3,10.21,post-flexion,
spectraW22,20220303,GH,2,1,3,105-1-3,5.53,mildly damaged,
spectraW22,20220303,GH,2,1,3,105-1-3,5.72,mildly damaged,
spectraW22,20220303,GH,2,1,4,105-1-4,4.49,,
spectraW22,20220303,GH,2,4,0,105-4-0,13.28,post-flexion,
spectraW22,20220303,GH,2,4,0,105-4-0,12.37,post-flexion,Damaged- likely no otos
spectraW22,20220303,GH,2,4,0,105-4-0,NA,missing most of body,
spectraW22,20220303,GH,2,4,0,105-4-0,13.38,post-flexion,Damaged- likely no otos
spectraW22,20220303,GH,2,4,0,105-4-0,11.59,post-flexion,
spectraW22,20220303,GH,2,4,0,105-4-0,14.96,post-flexion,
spectraW22,20220303,GH,2,4,3,105-4-3,11.04,post-flexion,
spectraW22,20220303,GH,2,4,3,105-4-3,10.44,post-flexion,
spectraW22,20220303,GH,2,4,3,105-4-3,12.92,post-flexion,damaged
spectraW22,20220303,GH,2,4,3,105-4-3,13.84,post-flexion,damaged
spectraW22,20220303,GH,2,4,3,105-4-3,14.26,post-flexion,
spectraW22,20220303,GH,2,4,3,105-4-3,9.91,post-flexion,
spectraW22,20220303,GH,2,4,3,105-4-3,12.63,post-flexion,
spectraW22,20220303,GH,2,4,3,105-4-3,10.39,post-flexion,
spectraW22,20220303,GH,2,4,3,105-4-3,NA,damaged,
spectraW22,20220303,GH,2,4,3,105-4-3,13.01,post-flexion,
spectraW22,20220303,GH,1,4,0,106-4-0,13.51,post-flexion,
spectraW22,20220303,GH,1,4,4,106-4-4,10.1,,
spectraW22,20220304,CR,3,4,4,108-4-4,15.28,post-flexion,
spectraW22,20220305,CR,1,1,0,109-1-0,3.83,,
spectraW22,20220305,CR,1,1,0,109-1-0,7.57,,
spectraW22,20220305,CR,1,1,4,109-1-4,4.53,,
spectraW22,20220305,CR,1,1,4,109-1-4,4.2,,
spectraW22,20220305,CR,1,1,4,109-1-4,6.13,,
spectraW22,20220305,CR,1,1,4p,109-1-4p,5.79,,
spectraW22,20220305,CR,1,1,4p,109-1-4p,6.04,,
spectraW22,20220305,CR,1,1,4p,109-1-4p,3.94,,
spectraW22,20220305,CR,1,1,4p,109-1-4p,3.37,,
spectraW22,20220305,CR,1,1,4p,109-1-4p,4.38,,
spectraW22,20220305,CR,1,1,4p,109-1-4p,5.51,,
spectraW22,20220305,CR,1,1,4p,109-1-4p,7.21,,
spectraW22,20220305,CR,1,1,4p,109-1-4p,2.97,,
spectraW22,20220305,CR,1,1,4p,109-1-4p,5.04,,
spectraW22,20220305,CR,1,1,4p,109-1-4p,6.88,,
spectraW22,20220305,CR,1,1,4p,109-1-4p,5.3,,
spectraW22,20220305,CR,1,1,4p,109-1-4p,4.79,,
spectraW22,20220305,CR,1,1,4p,109-1-4p,3.54,,
spectraW22,20220305,CR,1,1,4p,109-1-4p,4.23,,
spectraW22,20220305,CR,1,1,4p,109-1-4p,4.61,,
spectraW22,20220305,CR,1,1,4p,109-1-4p,4.47,,
spectraW22,20220305,CR,1,1,4p,109-1-4p,5.81,,
spectraW22,20220305,CR,1,1,4p,109-1-4p,6.24,,
spectraW22,20220305,CR,1,1,4p,109-1-4p,5.43,,
