cruise,date,transect,station,Moc,Net,Haul,Length_mm,Notes
spectraW23,20230217,GH,6,4,0,303-4-0,4.78,
spectraW23,20230217,GH,6,4,0,303-4-0,13.8,post-flexion
SPECTRA_W23,20230218,GH,3,1,0,304-1-0,7.28,
SPECTRA_W23,20230218,GH,3,1,2,304-1-2,4.67,
SPECTRA_W23,20230218,GH,3,1,2,304-1-2,4.3,
SPECTRA_W23,20230218,GH,3,1,2,304-1-2,3.18,
SPECTRA_W23,20230218,GH,3,1,2,304-1-2,4.67,
SPECTRA_W23,20230218,GH,3,1,2,304-1-2,6.95,
SPECTRA_W23,20230218,GH,3,1,3,304-1-3,4.58,
SPECTRA_W23,20230218,GH,3,1,3,304-1-3,7.35,
SPECTRA_W23,20230218,GH,3,1,4,304-1-4,4.7,
SPECTRA_W23,20230218,GH,3,1,4,304-1-4,3.99,
SPECTRA_W23,20230218,GH,3,1,4,304-1-4,4.03,
SPECTRA_W23,20230218,GH,3,1,4,304-1-4,5.49,
SPECTRA_W23,20230218,GH,3,1,4,304-1-4,4.99,
SPECTRA_W23,20230218,GH,3,1,4,304-1-4,7.9,
SPECTRA_W23,20230218,GH,3,1,4,304-1-4,6.79,
SPECTRA_W23,20230218,GH,3,1,4,304-1-4,6.31,
SPECTRA_W23,20230218,GH,3,1,4,304-1-4,7.5,
SPECTRA_W23,20230218,GH,3,1,4,304-1-4,6.68,
SPECTRA_W23,20230218,GH,3,1,4,304-1-4,6.9,
SPECTRA_W23,20230218,GH,3,1,4,304-1-4,9.48,post-flexion
SPECTRA_W23,20230218,GH,3,1,4,304-1-4,11.14,post-flexion
SPECTRA_W23,20230218,GH,3,1,4,304-1-4,7.13,
SPECTRA_W23,20230218,GH,3,4,0,304-4-0,8.53,post-flexion
SPECTRA_W23,20230218,GH,3,4,0,304-4-0,7.52,
SPECTRA_W23,20230218,GH,3,4,3,304-4-3,7.61,
SPECTRA_W23,20230218,GH,3,4,3,304-4-3,9.12,
SPECTRA_W23,20230218,GH,3,4,3,304-4-3,8.21,
SPECTRA_W23,20230218,GH,3,4,4,304-4-4,5.7,
SPECTRA_W23,20230218,GH,3,4,4,304-4-4,6.01,
SPECTRA_W23,20230218,GH,3,4,4,304-4-4,4.34,
SPECTRA_W23,20230218,GH,3,4,4,304-4-4,5.9,
SPECTRA_W23,20230218,GH,3,4,4,304-4-4,4.65,
SPECTRA_W23,20230218,GH,3,4,4,304-4-4,8.4,
SPECTRA_W23,20230218,GH,3,4,4,304-4-4,7.65,
SPECTRA_W23,20230218,GH,3,4,4,304-4-4,6.52,
SPECTRA_W23,20230218,GH,3,4,4,304-4-4,5.7,
SPECTRA_W23,20230218,GH,3,4,4,304-4-4,5.1,
SPECTRA_W23,20230218,GH,3,4,4,304-4-4,5.23,
SPECTRA_W23,20230218,GH,3,4,4,304-4-4,7.89,
SPECTRA_W23,20230218,GH,3,4,4,304-4-4,7.66,
SPECTRA_W23,20230218,GH,3,4,4,304-4-4,7.56,
SPECTRA_W23,20230218,GH,3,4,4,304-4-4,5.84,
SPECTRA_W23,20230218,GH,3,4,4,304-4-4,7.52,
SPECTRA_W23,20230218,GH,3,4,4,304-4-4,8.63,
SPECTRA_W23,20230218,GH,3,4,4,304-4-4,6.93,
SPECTRA_W23,20230218,GH,3,4,4,304-4-4,8.53,
SPECTRA_W23,20230218,GH,3,4,4,304-4-4,8,
