Vial_Label,Haul Code,Length(mm),
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,10.89,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,10.24,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,10.63,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,11.73,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,7.49,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,10.72,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,8.75,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,7.46,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,10.06,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.52,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.15,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.4,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.51,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,10.43,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,10.99,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,11.09,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,8.27,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.78,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.59,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,7.82,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,10.52,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,14.1,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,7.38,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.16,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,7.97,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,12.84,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,8.47,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.3,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,6.86,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,8.39,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,8.18,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,6.94,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.53,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.37,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,13.88,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,16.21,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.71,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.42,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,10.51,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,8.46,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,7.68,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.05,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.64,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,8.21,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,6.13,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.53,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,6.86,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,7.22,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.57,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,7.8,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,7.77,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,8.22,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,10.25,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,14.58,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.78,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,12.3,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.76,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.69,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.78,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,9.69,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,12.07,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,11.18,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,11.1,
mezcalW19-20190307-NH-S2-MbD-Moc4-N4,319-4-4,7.15,
